Protein,Gene Ontology (biological process) Count,Gene Ontology (molecular function) Count,Gene Ontology (cellular component) Count
ALAM_YEAST,3,2,2
ANGL8_HUMAN,7,1,1
CCL14_HUMAN,7,2,1
NAIF1_HUMAN,2,0,5
SELV_HUMAN,1,0,0
O5AL1_HUMAN,2,3,1
COQ4_YEAST,1,0,3
CLUL1_HUMAN,0,1,2
ANR42_HUMAN,0,1,1
MRP_HUMAN,4,2,4
AN13C_HUMAN,3,1,4
KPR3_YEAST,4,4,2
CCD77_HUMAN,0,0,2
MF13A_HUMAN,0,0,1
LRC4B_HUMAN,4,1,5
DYH12_HUMAN,1,5,2
LY75_HUMAN,3,2,3
GP2_HUMAN,3,1,10
RPI1_YEAST,3,2,1
SAP30_YEAST,9,2,4
SUH_HUMAN,57,9,7
SG11B_HUMAN,4,0,1
KLD7B_HUMAN,0,0,0
ZFYV9_HUMAN,3,3,5
ERR3_YEAST,1,2,2
ZMYM5_HUMAN,1,1,1
ALF_YEAST,3,3,3
AAKG3_HUMAN,6,5,6
MT1DP_HUMAN,5,1,2
WDR54_HUMAN,4,1,3
UBC12_YEAST,1,3,1
RRT15_YEAST,0,0,0
RGS20_HUMAN,4,2,4
PCC1_YEAST,7,1,4
ANKAR_HUMAN,0,0,1
CEGT_HUMAN,12,2,2
CDHR1_HUMAN,5,1,2
KHSE_YEAST,3,2,0
PFF1_YEAST,1,2,1
COQ5_HUMAN,2,1,6
FLNC_HUMAN,1,4,10
ZN281_HUMAN,7,8,2
SPICE_HUMAN,4,0,4
CNAS1_HUMAN,0,0,0
GPI17_YEAST,2,0,5
HDAC6_HUMAN,60,20,19
MYL11_HUMAN,5,2,4
LSR_HUMAN,7,0,9
DDC_HUMAN,8,5,3
MSS4_HUMAN,4,2,2
DPOE1_HUMAN,10,7,4
PRP4K_HUMAN,8,5,5
RPGR_HUMAN,6,3,6
IL20_HUMAN,6,3,2
FPR1_HUMAN,9,6,6
GLNA_YEAST,1,2,3
OR8J1_HUMAN,2,3,1
NHP2_YEAST,5,1,3
KCTD2_HUMAN,2,2,2
MTQ2_YEAST,4,4,5
RRS1_YEAST,3,0,4
CT55_HUMAN,1,0,3
F263_HUMAN,6,3,2
ILV3_YEAST,3,3,1
LAS17_YEAST,8,3,4
SWC7_YEAST,2,0,3
GGT1_HUMAN,14,4,3
TOM7_YEAST,2,0,3
MPV17_HUMAN,7,1,6
TOM20_HUMAN,4,3,8
NCA3_YEAST,2,0,4
TGL5_YEAST,3,2,1
PRG2_HUMAN,6,3,5
LIS1_HUMAN,52,10,22
EI2BD_YEAST,2,2,3
RHDF2_HUMAN,6,2,3
DEDD2_HUMAN,8,2,2
H17B6_HUMAN,5,10,3
TF_HUMAN,14,3,7
CTNL1_HUMAN,2,2,3
ZNF85_HUMAN,1,4,2
SMYD1_HUMAN,5,4,2
ERMP1_HUMAN,3,2,2
G3P2_YEAST,4,5,7
KR191_HUMAN,0,0,2
PCCA_HUMAN,3,5,4
EEIG1_HUMAN,1,0,3
KTHY_HUMAN,9,3,5
SF3B3_HUMAN,8,2,10
TOM6_HUMAN,1,0,3
YG47_YEAST,0,0,0
OR4A4_HUMAN,0,2,1
TKFC_HUMAN,6,5,3
CNIH3_HUMAN,2,0,8
YO192_YEAST,0,0,0
HST3_YEAST,5,4,3
BPIFC_HUMAN,1,2,1
DEFB1_HUMAN,13,2,7
T132A_HUMAN,3,1,6
KR10C_HUMAN,0,0,2
PITM2_HUMAN,1,6,4
ANS1_YEAST,0,1,3
GLT17_HUMAN,1,3,2
KDM5C_HUMAN,5,5,4
EMC4_YEAST,4,0,2
DUT_HUMAN,5,3,4
SPOC1_HUMAN,4,0,2
BICD2_HUMAN,9,5,9
T2R31_HUMAN,1,2,2
KLK11_HUMAN,1,2,4
ESS1_YEAST,6,2,2
BTLA_HUMAN,2,1,1
YO027_HUMAN,0,0,1
L2GL2_HUMAN,9,3,6
NUP88_HUMAN,5,1,4
AGRA2_HUMAN,12,1,6
DYHC1_HUMAN,13,6,13
TFB1M_HUMAN,3,5,3
GPX1_HUMAN,47,3,4
HCS1_YEAST,2,6,3
PSF2_HUMAN,2,0,4
PKHG5_HUMAN,5,1,8
CT173_HUMAN,3,1,1
RHOF_HUMAN,6,4,5
DYH17_HUMAN,3,5,7
YP136_YEAST,0,0,0
CELR3_HUMAN,6,2,2
UBP1_HUMAN,9,3,3
OZF_HUMAN,2,5,3
LAT3_HUMAN,7,6,4
HMX3_HUMAN,7,2,2
KCNKI_HUMAN,6,4,1
MBD6_HUMAN,0,1,5
