Protein,Gene Ontology (biological process) Count,Gene Ontology (molecular function) Count,Gene Ontology (cellular component) Count
A0A021WW32_DROME,7,1,5
A0A023GRW4_DROME,6,0,3
A0A0B4JCQ5_DROME,11,2,3
A0A0B4JCQ7_DROME,8,3,2
A0A0B4JCS1_DROME,11,2,3
A0A0B4JCU7_DROME,18,2,3
A0A0B4JCV4_DROME,10,1,4
A0A0B4JCY1_DROME,7,6,1
A0A0B4JCZ2_DROME,6,1,3
A0A0B4JCZ4_DROME,3,1,1
A0A0B4JD00_DROME,11,2,3
A0A0B4JD03_DROME,8,3,2
A0A0B4JD07_DROME,1,4,4
A0A0B4JD27_DROME,11,2,3
A0A0B4JD31_DROME,11,2,3
A0A0B4JD33_DROME,7,3,2
A0A0B4JD39_DROME,3,0,1
A0A0B4JD53_DROME,18,2,3
A0A0B4JD57_DROME,0,3,2
A0A0B4JD82_DROME,2,4,0
A0A0B4JD95_DROME,0,3,2
A0A0B4JD97_DROME,10,1,5
A0A0B4JDA0_DROME,9,1,3
A0A0B4JDA7_DROME,18,2,3
A0A0B4JDG1_DROME,3,0,1
A0A0B4K5Z8_DROME,14,2,6
A0A0B4K602_DROME,1,21,1
A0A0B4K630_DROME,3,1,1
A0A0B4K657_DROME,11,1,3
A0A0B4K661_DROME,0,0,0
NEP2_DROME,3,4,3
A0A0B4K697_DROME,9,2,4
A0A0B4K6B8_DROME,0,1,1
A0A0B4K6C7_DROME,14,1,7
A0A0B4K6E1_DROME,1,2,1
A0A0B4K6G8_DROME,1,2,1
A0A0B4K6I7_DROME,10,1,4
A0A0B4K6K8_DROME,7,4,2
A0A0B4K6M2_DROME,8,3,4
A0A0B4K6N5_DROME,1,11,0
A0A0B4K6P4_DROME,8,3,4
A0A0B4K6Q6_DROME,3,1,1
A0A0B4K6Q9_DROME,14,4,5
A0A0B4K6R4_DROME,14,4,5
A0A0B4K6R8_DROME,14,4,5
A0A0B4K6S2_DROME,14,4,5
A0A0B4K6T4_DROME,8,2,6
A0A0B4K6T9_DROME,7,3,2
A0A0B4K6U3_DROME,1,5,4
A0A0B4K6V0_DROME,9,1,4
A0A0B4K6V6_DROME,1,11,0
A0A0B4K6W9_DROME,8,3,4
A0A0B4K6Y7_DROME,17,1,7
A0A0B4K6Y8_DROME,0,0,0
A0A0B4K6Y9_DROME,14,4,5
A0A0B4K6Z0_DROME,1,2,1
A0A0B4K6Z1_DROME,7,2,6
A0A0B4K6Z3_DROME,14,4,5
A0A0B4K6Z4_DROME,7,1,4
A0A0B4K6Z8_DROME,14,4,5
A0A0B4K718_DROME,19,4,13
A0A0B4K727_DROME,1,4,4
A0A0B4K765_DROME,12,3,5
A0A0B4K774_DROME,22,3,8
A0A0B4K788_DROME,19,4,14
A0A0B4K7A6_DROME,0,1,1
A0A0B4K7C4_DROME,9,2,4
A0A0B4K7C5_DROME,5,4,3
A0A0B4K7H5_DROME,18,2,3
A0A0B4K7H7_DROME,14,4,5
A0A0B4K7H9_DROME,14,4,5
A0A0B4K7I3_DROME,14,4,5
A0A0B4K7I5_DROME,14,4,5
RBP2_DROME,12,2,3
A0A0B4K7J3_DROME,14,11,2
A0A0B4K7K9_DROME,11,1,6
A0A0B4K7P1_DROME,26,8,1
A0A0B4K7P8_DROME,19,4,14
A0A0B4K7Q3_DROME,12,12,3
A0A0B4K7Q4_DROME,0,3,2
A0A0B4K7Q6_DROME,18,2,4
A0A0B4K7T4_DROME,14,4,5
A0A0B4K7T5_DROME,14,4,5
A0A0B4K7T6_DROME,14,4,5
A0A0B4K7T7_DROME,19,4,8
A0A0B4K7T8_DROME,14,4,5
A0A0B4K7V8_DROME,9,1,4
A0A0B4K7Y9_DROME,19,4,14
A0A0B4K823_DROME,15,4,5
A0A0B4K824_DROME,14,4,5
A0A0B4K827_DROME,14,4,5
A0A0B4K828_DROME,14,4,5
A0A0B4K843_DROME,9,1,4
A0A0B4K867_DROME,19,4,14
A0A0B4K869_DROME,20,4,14
KOI_DROME,3,1,5
A0A0B4KEF4_DROME,14,4,5
A0A0B4KEI6_DROME,0,2,1
A0A0B4KEN4_DROME,10,1,1
A0A0B4KEU2_DROME,8,1,1
A0A0B4KEY9_DROME,1,22,0
A0A0B4KF38_DROME,9,1,4
A0A0B4KF46_DROME,13,2,4
A0A0B4KF82_DROME,11,2,2
A0A0B4KF84_DROME,2,4,0
A0A0B4KF86_DROME,16,0,6
A0A0B4KFC0_DROME,16,6,2
A0A0B4KFC4_DROME,20,2,1
A0A0B4KFD2_DROME,6,4,1
A0A0B4KFE4_DROME,9,2,7
A0A0B4KFK1_DROME,10,1,4
A0A0B4KFK7_DROME,2,4,0
A0A0B4KFK9_DROME,9,2,2
A0A0B4KFL3_DROME,8,6,7
A0A0B4KFN0_DROME,1,1,2
A0A0B4KFQ0_DROME,10,1,2
A0A0B4KFR5_DROME,4,5,5
