Protein,Gene Ontology (biological process) Count,Gene Ontology (molecular function) Count,Gene Ontology (cellular component) Count
CP2D7_HUMAN,3,4,4
PIOS1_HUMAN,2,0,2
MOTSC_HUMAN,9,2,3
CD3CH_HUMAN,1,0,2
NBDY_HUMAN,3,0,1
CIROP_HUMAN,3,3,2
S12A8_HUMAN,5,1,1
RBM47_HUMAN,8,5,3
IFT56_HUMAN,9,1,7
TM129_HUMAN,6,2,2
E2F8_HUMAN,12,8,5
UBA6_HUMAN,7,5,2
ESYT2_HUMAN,3,7,7
ESYT3_HUMAN,2,5,5
MED19_HUMAN,4,1,4
BLT3B_HUMAN,2,3,2
POTB3_HUMAN,0,0,0
IGLC7_HUMAN,3,1,8
SHOT1_HUMAN,12,4,12
SC5AA_HUMAN,1,4,3
FEZF1_HUMAN,10,4,2
T120B_HUMAN,2,0,1
CLRN2_HUMAN,3,0,2
RHG10_HUMAN,4,1,4
IRGM_HUMAN,37,9,12
F170A_HUMAN,3,2,1
ANO9_HUMAN,8,7,2
S22AN_HUMAN,1,1,1
ODAM_HUMAN,8,0,9
F168B_HUMAN,0,0,4
PXDNL_HUMAN,2,5,3
HACL2_HUMAN,3,5,3
U2QL1_HUMAN,1,2,3
SYCE3_HUMAN,9,0,3
PKHG3_HUMAN,3,3,2
ELOV7_HUMAN,7,1,2
SRCRL_HUMAN,6,4,5
FSD2_HUMAN,0,0,3
SPD2B_HUMAN,11,5,4
CBAR1_HUMAN,6,1,9
MACD2_HUMAN,6,3,3
ZC12D_HUMAN,3,3,5
FRMD3_HUMAN,1,1,2
CCD78_HUMAN,3,0,6
HFM1_HUMAN,1,4,1
NBAS_HUMAN,4,1,5
SYTC2_HUMAN,1,3,2
TM218_HUMAN,0,0,2
TESP1_HUMAN,6,2,5
HYKK_HUMAN,2,2,1
MEIOC_HUMAN,10,0,2
CCD66_HUMAN,5,2,10
TYW5_HUMAN,1,5,1
MBPHL_HUMAN,1,0,2
T131L_HUMAN,3,0,3
SSPO_HUMAN,1,1,3
VWA8_HUMAN,0,2,3
LAMB4_HUMAN,1,0,2
ISPD_HUMAN,3,3,1
F221A_HUMAN,0,0,0
GSAP_HUMAN,2,1,1
GTPBA_HUMAN,1,4,3
WDR91_HUMAN,3,2,4
PRS37_HUMAN,8,1,3
CC14C_HUMAN,5,3,6
MBLC1_HUMAN,3,2,3
PM2P1_HUMAN,2,3,1
EME2_HUMAN,4,2,3
XIRP2_HUMAN,6,2,2
POTEF_HUMAN,2,2,10
CL18A_HUMAN,0,1,4
VP37C_HUMAN,8,1,4
ODAD3_HUMAN,11,0,8
CFA69_HUMAN,7,0,3
PSB11_HUMAN,4,3,3
PSD1_HUMAN,3,2,4
PDES1_HUMAN,2,1,2
5HT3E_HUMAN,3,3,6
CNOT1_HUMAN,13,6,8
CRNS1_HUMAN,2,5,1
MEG11_HUMAN,2,0,1
BDP1_HUMAN,1,1,2
F221B_HUMAN,0,0,0
CC88B_HUMAN,6,2,7
NKX26_HUMAN,18,4,2
JUNO_HUMAN,4,3,4
FA83G_HUMAN,1,1,2
PALM3_HUMAN,4,1,2
RBY1B_HUMAN,5,1,4
PGP_HUMAN,3,6,1
TMM8B_HUMAN,2,0,5
RCCD1_HUMAN,1,0,3
GG6L9_HUMAN,0,0,0
TIKI2_HUMAN,5,3,2
TCAF2_HUMAN,3,1,2
MFS2B_HUMAN,5,2,1
SDHF1_HUMAN,1,0,3
PCARE_HUMAN,3,0,4
OOEP_HUMAN,11,1,5
GGT3_HUMAN,7,2,2
TBAL3_HUMAN,2,4,2
SMHD1_HUMAN,8,4,2
CAST2_HUMAN,2,1,1
MSGN1_HUMAN,5,6,2
MYMK_HUMAN,5,0,2
LIRA5_HUMAN,14,1,4
U119B_HUMAN,3,1,3
WTIP_HUMAN,8,2,4
NKX63_HUMAN,7,6,2
MET15_HUMAN,1,1,2
IRG1_HUMAN,20,2,1
LIPT2_HUMAN,2,2,2
RASFA_HUMAN,4,0,3
PCX2_HUMAN,0,0,1
CO6A6_HUMAN,1,0,4
IFM5_HUMAN,4,0,3
TTL13_HUMAN,2,4,3
S38A8_HUMAN,5,1,3
UBP27_HUMAN,9,4,2
TBB8B_HUMAN,2,4,6
TTLL8_HUMAN,4,4,6
ZSWM8_HUMAN,4,2,3
MYH7B_HUMAN,0,3,4
RHG32_HUMAN,2,2,11
TBKB1_HUMAN,2,1,2
SRRM4_HUMAN,8,2,1
SOBP_HUMAN,6,2,1
P121C_HUMAN,3,2,5
WASH1_HUMAN,12,5,9
A2ML1_HUMAN,2,2,2
CLM7_HUMAN,1,1,1
CLCA1_HUMAN,4,4,4
OCAT2_HUMAN,0,3,2
SFI1_HUMAN,0,1,2
ZN785_HUMAN,1,3,1
GBRR3_HUMAN,3,4,8
CRTP1_HUMAN,2,1,2
NEU1B_HUMAN,3,2,3
CENPX_HUMAN,7,1,7
CMI2B_HUMAN,0,0,2
GNAT3_HUMAN,5,5,9
FOXI3_HUMAN,10,2,1
NOTO_HUMAN,9,3,2
BBIP1_HUMAN,8,0,4
SMTL1_HUMAN,7,5,7
CSKMT_HUMAN,5,2,2
VGLL3_HUMAN,1,0,1
HECA2_HUMAN,2,0,8
P20L1_HUMAN,3,2,2
BECN2_HUMAN,7,2,3
MEI4_HUMAN,5,0,2
GRCR1_HUMAN,6,0,3
NUD19_HUMAN,7,2,3
KCNU1_HUMAN,2,1,4
LEUTX_HUMAN,1,2,3
CO6A5_HUMAN,1,1,3
IMA8_HUMAN,6,2,6
MI4GD_HUMAN,2,3,5
AHRR_HUMAN,1,4,4
MYO1G_HUMAN,11,7,12
DESPR_HUMAN,2,2,1
HACD1_HUMAN,7,4,2
ESPN_HUMAN,3,2,6
MYO9A_HUMAN,7,5,6
VWC2L_HUMAN,2,0,3
SMIM1_HUMAN,0,1,2
ZBT42_HUMAN,3,3,4
KDM4E_HUMAN,2,3,3
IQIP1_HUMAN,2,0,4
TARM1_HUMAN,4,1,3
KCJ18_HUMAN,2,1,2
GPHRA_HUMAN,4,1,4
WASH3_HUMAN,9,3,10
PATL2_HUMAN,4,1,3
MCRI1_HUMAN,1,0,3
KBTBD_HUMAN,4,1,1
AK1BF_HUMAN,1,7,3
KLRF2_HUMAN,2,2,1
MCIN_HUMAN,10,1,2
STMP1_HUMAN,6,0,5
SO1BT_HUMAN,2,2,2
SUMO5_HUMAN,2,4,1
TM250_HUMAN,5,2,8
TGR3L_HUMAN,4,3,1
SIM22_HUMAN,5,0,2
IFNL4_HUMAN,6,2,2
MIDUO_HUMAN,4,1,2
DCDC1_HUMAN,3,2,5
DNS2A_HUMAN,4,2,2
ADAS_HUMAN,2,2,6
UBXN8_HUMAN,2,2,6
KIF2A_HUMAN,9,5,13
SGK1_HUMAN,19,9,8
KITM_HUMAN,6,5,3
FZD9_HUMAN,23,5,11
DX39A_HUMAN,3,6,5
PDLI1_HUMAN,10,5,8
BACH_HUMAN,7,5,5
GPR25_HUMAN,1,1,1
MYO1C_HUMAN,15,6,22
MYO1F_HUMAN,2,5,6
SNP23_HUMAN,8,3,16
HAX1_HUMAN,12,2,15
EYA2_HUMAN,8,3,4
PLM_HUMAN,9,3,7
AIP_HUMAN,4,5,5
CCL24_HUMAN,17,4,1
GTPB1_HUMAN,6,6,3
KCNK1_HUMAN,8,9,12
LEG9_HUMAN,44,5,5
STXB3_HUMAN,14,3,11
MASP2_HUMAN,3,6,3
AP4M1_HUMAN,10,2,9
ARVC_HUMAN,4,1,4
RB27B_HUMAN,5,6,15
HRK_HUMAN,4,0,2
AP3B1_HUMAN,31,2,10
ST2B1_HUMAN,6,7,6
TLR4_HUMAN,86,9,11
RHOD_HUMAN,11,4,6
APBB1_HUMAN,14,8,9
LEG8_HUMAN,3,2,5
NDUS8_HUMAN,4,3,4
HYAS3_HUMAN,6,2,7
TR10A_HUMAN,8,5,6
