Protein,Gene Ontology (biological process) Count,Gene Ontology (molecular function) Count,Gene Ontology (cellular component) Count
A0A075F5C6_MOUSE,36,14,11
AUTS2_MOUSE,9,1,4
A0A087WPT2_MOUSE,0,1,0
A0A087WRK1_MOUSE,4,0,2
A0A087WRT4_MOUSE,10,1,5
A0A087WSP5_MOUSE,18,11,6
IQIP1_MOUSE,3,3,5
A0A0A6YWF9_MOUSE,2,19,1
A0A0A6YWL7_MOUSE,7,20,2
A0A0A6YXR0_MOUSE,1,1,2
A0A0A6YXU9_MOUSE,39,5,2
ARRD4_MOUSE,5,1,4
FCG3A_MOUSE,5,5,2
GP15L_MOUSE,10,3,1
GBP6_MOUSE,7,2,2
A0A0G2JGI9_MOUSE,3,5,4
A0A0G2JGS4_MOUSE,19,5,5
A0A0R4IZW4_MOUSE,32,8,4
A0A0R4IZW5_MOUSE,18,8,14
A0A0R4IZY3_MOUSE,8,21,6
A0A0R4J008_MOUSE,30,16,5
A0A0R4J049_MOUSE,11,16,5
A0A0R4J083_MOUSE,2,4,2
A0A0R4J097_MOUSE,19,9,4
A0A0R4J0A4_MOUSE,8,19,3
A0A0R4J0A9_MOUSE,13,8,8
A0A0R4J0B3_MOUSE,5,22,1
A0A0R4J0B6_MOUSE,15,7,2
A0A0R4J0N8_MOUSE,27,7,8
A0A0R4J0P2_MOUSE,3,21,3
A0A0R4J104_MOUSE,26,4,5
A0A0R4J115_MOUSE,25,4,2
A0A0R4J136_MOUSE,32,3,4
A0A0R4J1M7_MOUSE,11,13,9
A0A0R4J1Q7_MOUSE,18,12,3
A0A0U1RNJ1_MOUSE,1,9,0
A0A0U1RNR0_MOUSE,2,3,3
GUC2D_MOUSE,9,5,1
A0A140LHU0_MOUSE,18,6,2
ANR31_MOUSE,3,0,2
IRGM2_MOUSE,6,2,4
CYLC1_MOUSE,5,2,5
A0A1B0GRJ9_MOUSE,13,10,6
A0A1B0GSQ5_MOUSE,8,11,3
A0A1D5RLQ9_MOUSE,2,24,3
GCNA_MOUSE,6,0,2
A0A1L1SQU7_MOUSE,12,1,9
A0A1L1SSL9_MOUSE,16,24,5
A0A1L1STC6_MOUSE,11,5,14
A0A1L1SUI3_MOUSE,18,1,1
A0A1L1SUV7_MOUSE,15,1,1
A0A1L1SV42_MOUSE,15,1,1
NOVA2_MOUSE,8,3,1
A0A1Y7VMN0_MOUSE,19,25,4
A0A1Y7VMP7_MOUSE,6,6,7
A0A1Y7VNZ6_MOUSE,2,23,3
A0A286YE25_MOUSE,6,5,10
A0A2I3BQE0_MOUSE,5,21,2
A0A2R3XZC4_MOUSE,11,7,10
DT3UO_MOUSE,14,2,2
A0A385KNU8_MOUSE,25,2,6
A0A3B2WC92_MOUSE,6,5,9
A0A3Q4EGQ9_MOUSE,0,23,0
A0A3Q4EGR2_MOUSE,2,22,6
A0A494B9E3_MOUSE,40,1,9
A0A494B9X3_MOUSE,1,4,1
B3A4_MOUSE,2,3,3
A0A494BAW1_MOUSE,12,4,1
A0A494BBH5_MOUSE,6,2,9
A0A494BBP6_MOUSE,1,4,1
A0A571BDN7_MOUSE,20,7,7
CYLC2_MOUSE,6,1,1
A0A5F8MP90_MOUSE,22,2,11
A0A5F8MPH8_MOUSE,10,3,5
A0A5F8MPM8_MOUSE,6,2,9
CTSRT_MOUSE,7,0,3
A0A5F8MPX1_MOUSE,5,21,6
A0A5F8MQ39_MOUSE,3,21,3
MEIOS_MOUSE,6,2,1
A0A654ICD2_MOUSE,49,9,10
A0A6G6A824_MOUSE,4,16,4
A0A6G7SEK5_MOUSE,4,4,4
A0A6G7SF19_MOUSE,4,4,4
A0A7R8GUQ3_MOUSE,29,3,1
A0A9Y0B4B2_MOUSE,1,4,1
A0AA74KSS6_MOUSE,17,8,4
A0AA74KT59_MOUSE,31,11,3
SMKY_MOUSE,0,22,0
BICL1_MOUSE,2,2,2
LPP60_MOUSE,2,4,0
ISX_MOUSE,3,2,1
PGRP3_MOUSE,9,5,2
ODAM_MOUSE,7,0,9
FCMR_MOUSE,6,3,6
MPEG1_MOUSE,8,2,5
SL9A6_MOUSE,13,2,16
TOMT_MOUSE,5,1,3
A1YYM3_MOUSE,2,19,3
A1YYM4_MOUSE,2,19,3
A1YYM5_MOUSE,2,19,3
A1YYM6_MOUSE,2,19,3
A1YYM7_MOUSE,2,19,3
A1YYM8_MOUSE,2,19,3
A1YYM9_MOUSE,2,19,3
A1YYN0_MOUSE,2,19,3
A1YYN1_MOUSE,2,19,3
A1YYN2_MOUSE,2,19,3
A1YYN5_MOUSE,2,19,3
A1YYN6_MOUSE,2,19,3
A1YYN7_MOUSE,2,19,3
A1YYN9_MOUSE,2,19,3
A1YYP0_MOUSE,2,19,3
A1YYP1_MOUSE,2,19,3
NL1B2_MOUSE,10,3,2
PK2L1_MOUSE,10,11,10
CUL4B_MOUSE,12,2,5
DHX8_MOUSE,1,10,4
ZN335_MOUSE,10,4,2
LMBL1_MOUSE,8,4,5
BIG2_MOUSE,9,4,16
SMUF2_MOUSE,4,4,5
SPP2C_MOUSE,6,4,3
CDC27_MOUSE,6,1,7
RN19B_MOUSE,3,3,4
A2A813_MOUSE,2,2,1
A2A815_MOUSE,2,2,1
CPLN2_MOUSE,13,2,5
A2A848_MOUSE,1,3,1
ITB4_MOUSE,14,4,9
ZEP3_MOUSE,2,2,2
CHD5_MOUSE,7,16,3
PTPRF_MOUSE,7,9,3
TM201_MOUSE,2,2,2
PRD16_MOUSE,17,8,5
CP4CB_MOUSE,1,3,1
DMTA2_MOUSE,9,4,1
SZT2_MOUSE,10,0,5
KDF1_MOUSE,11,0,5
MET23_MOUSE,5,5,5
BLTP1_MOUSE,13,1,5
OBSCN_MOUSE,4,35,9
SPD2B_MOUSE,17,5,4
MED14_MOUSE,5,1,4
DNAI2_MOUSE,4,1,11
FRMD7_MOUSE,5,0,7
DOC11_MOUSE,5,2,0
MEIOC_MOUSE,11,0,2
A2AG68_MOUSE,25,7,13
MED12_MOUSE,18,6,4
RYR3_MOUSE,8,3,3
CKAP5_MOUSE,17,4,9
AMRA1_MOUSE,19,5,10
ANO3_MOUSE,5,2,1
NDOR1_MOUSE,2,7,4
TPRN_MOUSE,3,4,6
A2AI21_MOUSE,17,12,14
A2AI57_MOUSE,1,23,1
CMI2B_MOUSE,1,0,3
NMD3A_MOUSE,7,7,8
VIR_MOUSE,2,0,5
CARD9_MOUSE,35,4,2
ENTR1_MOUSE,7,0,6
MA1B1_MOUSE,4,2,3
HMCN2_MOUSE,0,1,6
PLPL7_MOUSE,1,1,3
LCN5_MOUSE,1,2,1
CHD7_MOUSE,45,13,3
S4A11_MOUSE,8,9,3
MALR1_MOUSE,2,0,3
ACNT1_MOUSE,2,2,1
S35D1_MOUSE,3,2,2
SETX_MOUSE,18,5,10
CNTRL_MOUSE,6,0,9
RPGP1_MOUSE,6,1,1
SHRM2_MOUSE,13,4,11
SHOC1_MOUSE,3,2,2
CNTLN_MOUSE,7,3,5
AF9_MOUSE,9,5,4
A2AM78_MOUSE,1,22,3
CAVN4_MOUSE,4,1,7
BFSP1_MOUSE,3,1,4
UBR4_MOUSE,15,3,4
SYNG1_MOUSE,4,2,10
PLCH2_MOUSE,4,3,2
TPX2_MOUSE,8,3,10
TTLL9_MOUSE,2,4,4
CTCFL_MOUSE,3,5,4
A2APM2_MOUSE,12,2,8
SCN1A_MOUSE,12,2,11
TBB1_MOUSE,7,4,4
RTF1_MOUSE,7,1,2
SKT_MOUSE,1,0,2
A2AQ92_MOUSE,11,4,5
A2AQ99_MOUSE,12,4,1
A2AQL0_MOUSE,10,22,3
LRAD3_MOUSE,2,1,2
ITA8_MOUSE,16,1,9
LGR4_MOUSE,23,2,1
VIP1_MOUSE,1,6,2
CTSR2_MOUSE,4,2,2
LRP2_MOUSE,32,3,16
ANR16_MOUSE,1,0,2
GDAH_MOUSE,2,5,1
SCN3A_MOUSE,2,2,5
AGRIN_MOUSE,26,9,8
TITIN_MOUSE,15,27,7
SCMC2_MOUSE,9,2,2
RENT2_MOUSE,4,2,5
A2ATU9_MOUSE,2,18,4
RD21L_MOUSE,9,0,5
ARMC3_MOUSE,3,0,0
KLH41_MOUSE,7,0,11
A2AUM0_MOUSE,4,21,0
CE152_MOUSE,3,1,7
METL8_MOUSE,4,3,3
SVEP1_MOUSE,11,4,6
S43A3_MOUSE,1,4,1
MGAP_MOUSE,2,5,2
BIRC7_MOUSE,8,3,6
CO6A4_MOUSE,2,1,5
MOCS3_MOUSE,5,7,1
ARI1A_MOUSE,24,2,7
KALRN_MOUSE,10,24,3
ARI4B_MOUSE,11,1,4
SMKTR_MOUSE,0,24,0
A2RSS9_MOUSE,37,3,5
MGST2_MOUSE,5,6,3
TRM1L_MOUSE,4,3,0
DEND3_MOUSE,2,1,1
CTSRB_MOUSE,1,0,4
AT8B5_MOUSE,2,5,3
CHD6_MOUSE,2,14,1
5NT1A_MOUSE,8,6,1
P20D2_MOUSE,2,3,1
A3KG93_MOUSE,20,11,4
PLCB2_MOUSE,6,4,3
RGPA2_MOUSE,5,2,3
ODFP2_MOUSE,2,1,11
A3KMN0_MOUSE,12,2,3
A4FUV6_MOUSE,0,18,1
A4FUV7_MOUSE,0,18,1
TTLL3_MOUSE,4,5,5
TTLL6_MOUSE,5,7,4
