Entry Name,Gene Ontology (biological process) Count,Gene Ontology (molecular function) Count,Gene Ontology (cellular component) Count
YP41B_YEAST,4,8,2
STE2_YEAST,2,2,2
CET1_YEAST,3,2,1
FOB1_YEAST,11,2,2
RS9A_YEAST,3,2,7
YA11B_YEAST,3,6,2
YH11B_YEAST,5,8,2
THP2_YEAST,5,1,4
CCW14_YEAST,1,1,5
RPN13_YEAST,2,1,4
MBF1_YEAST,3,3,2
MDM35_YEAST,5,0,4
TIM9_YEAST,1,3,5
SEM1_YEAST,10,2,5
CYC1_YEAST,2,4,2
QCR6_YEAST,4,0,5
QCR7_YEAST,5,0,4
CYB_YEAST,3,2,4
CYB2_YEAST,1,3,5
ADH1_YEAST,3,8,2
ADH2_YEAST,3,3,1
G3P2_YEAST,4,5,7
G3P3_YEAST,5,7,7
G3P1_YEAST,2,4,5
COX1_YEAST,4,3,4
COX2_YEAST,3,2,3
COX3_YEAST,3,2,4
COX5A_YEAST,2,1,4
CCPR_YEAST,3,4,3
SODC_YEAST,11,3,5
CDK1_YEAST,48,8,6
KPYK1_YEAST,3,5,2
PGK_YEAST,3,3,4
KTHY_YEAST,4,4,2
PPA5_YEAST,3,3,3
INV2_YEAST,4,3,5
CBPY_YEAST,4,1,6
ARGI_YEAST,3,4,5
HIS2_YEAST,1,6,1
IPYR_YEAST,1,2,2
ATPB_YEAST,2,4,7
ATP6_YEAST,1,1,4
CISY1_YEAST,4,2,4
ENO1_YEAST,2,3,6
ENO2_YEAST,2,3,6
THDH_YEAST,3,3,1
TRPG_YEAST,3,2,2
TPIS_YEAST,4,1,4
PMG1_YEAST,2,2,4
SYMC_YEAST,2,3,5
IPA3_YEAST,2,3,4
RAS1_YEAST,2,4,4
RAS2_YEAST,10,4,5
YPT1_YEAST,17,3,10
H2B1_YEAST,4,3,3
H2B2_YEAST,2,3,3
H4_YEAST,5,4,4
RLA4_YEAST,2,3,3
RL28_YEAST,1,2,4
TBB_YEAST,9,4,3
HSP82_YEAST,13,5,6
